id,name,title,sourceUrl,date,sensorGeneration,compatibleCameras,parseStatus,settingCount,filmSimulation,dynamicRange,grainEffect,colorChromeEffect,colorChromeFxBlue,whiteBalance,highlight,shadow,color,sharpness,highIsoNr,clarity,iso,exposureCompensation
classic-color,Classic Color,Classic Color - Classic Color - Fujifilm X-T5 (X-Trans V) and X-E4 (X-Trans IV) Film Simulation Recipe,https://fujixweekly.com/2024/04/22/classic-color-fujifilm-x-t5-x-trans-v-and-x-e4-x-trans-iv-film-simulation-recipe/,"April 22, 2024",X-Trans V,"X-T5, X100VI",ok,14,Classic Chrome,DR400,"Strong, Small",Strong,"Strong (X-Trans IV), Weak (X-Trans V)","5300K, 0 Red & -6 Blue",-0.5,-2,+3,-2,-4,-2,"Auto, up to ISO 6400",0 to +1 (typically)
kodachrome-64,Kodachrome 64,Kodachrome 64 - Kodachrome 64 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/11/28/kodachrome-64-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"November 28, 2022",X-Trans V,X-T5,ok,14,Classic Chrome,DR200,"Weak, Small",Strong,Off,"Daylight, +2 Red & -5 Blue",0,+0.5,+2,+1,-4,+3,"Auto, up to ISO 6400",0 to +2/3 (typically)
kodachrome-25,Kodachrome 25,Kodachrome 25 - Kodachrome 25 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/03/06/kodachrome-25-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"March 6, 2023",X-Trans V,X-T5,ok,14,Classic Chrome,DR400,Off,Strong,Weak,"Daylight, +2 Red & -4 Blue",+0.5,-0.5,+1,+3,-4,+3,"Auto, up to ISO 1600",0 to +2/3 (typically)
kodacolor-vr-200,Kodacolor VR 200,Kodacolor VR 200 - Kodacolor VR 200 - Fujifilm X-Trans V Film Simulation Recipe,https://fujixweekly.com/2025/04/16/kodacolor-vr-200-fujifilm-x-trans-v-film-simulation-recipe/,"April 16, 2025",X-Trans V,"X-S20, X100VI, GFX100S II",ok,14,Classic Chrome,DR200,"Weak, Large",Strong,Weak,"3000K, +8 Red & -8 Blue",+1.5,+2.5,-4,+1,-4,-2,"Auto, up to ISO 6400",0 to +2/3 (typically)
can-ai-make-a-fujifilm-recipe-kodak-ektachrome-e100vs-two-fujifilm-x-t5-x-trans-v-x-trans-iv-film-simulation-recipes-1,Can AI Make a Fujifilm Recipe? - Kodak Ektachrome E100VS - Two Fujifilm X-T5 (X-Trans V + X-Trans IV) Film Simulation Recipes!!,Can AI Make a Fujifilm Recipe? - Kodak Ektachrome E100VS - Two Fujifilm X-T5 (X-Trans V + X-Trans IV) Film Simulation Recipes!! - Can AI Make a Fujifilm Recipe? - Kodak Ektachrome E100VS - Two Fujifilm X-T5 (X-Trans V + X-Trans IV) Film Simulation Recipes!!,https://fujixweekly.com/2023/04/29/can-ai-make-a-fujifilm-recipe-kodak-ektachrome-e100vs-two-fujifilm-x-t5-x-trans-v-x-trans-iv-film-simulation-recipes/,"April 29, 2023",X-Trans V,"X-H2, X-H2S, X-T5",ok,14,Velvia,DR400,"Strong, Small",Strong,Strong,"Auto, +2 Red & -2 Blue",+1,+1,+2,+1,-2,+1,"Auto, up to ISO 6400",+1/3 to +1 (typically)
can-ai-make-a-fujifilm-recipe-kodak-ektachrome-e100vs-two-fujifilm-x-t5-x-trans-v-x-trans-iv-film-simulation-recipes-2,Can AI Make a Fujifilm Recipe? - Kodak Ektachrome E100VS - Two Fujifilm X-T5 (X-Trans V + X-Trans IV) Film Simulation Recipes!!,Can AI Make a Fujifilm Recipe? - Kodak Ektachrome E100VS - Two Fujifilm X-T5 (X-Trans V + X-Trans IV) Film Simulation Recipes!! - Can AI Make a Fujifilm Recipe? - Kodak Ektachrome E100VS - Two Fujifilm X-T5 (X-Trans V + X-Trans IV) Film Simulation Recipes!!,https://fujixweekly.com/2023/04/29/can-ai-make-a-fujifilm-recipe-kodak-ektachrome-e100vs-two-fujifilm-x-t5-x-trans-v-x-trans-iv-film-simulation-recipes/,"April 29, 2023",X-Trans V,X-T5,ok,14,Velvia,DR200,"Weak, Small",Strong,Strong,"5150K, +3 Red & -3 Blue",+1.5,+0.5,+1,-1,-4,+3,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
vivid-velvia,Vivid Velvia,Vivid Velvia - Vivid Velvia - Fujifilm X-E5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2025/10/28/vivid-velvia-fujifilm-x-e5-x-trans-v-film-simulation-recipe/,2025-10-28,X-Trans V,X-E5,ok,14,Velvia,DR400,"Weak, Small",Strong,Weak,"Auto Ambience Priority, +1 Red & -3 Blue",-1,-1,+4,+1,-4,+3,"Auto, up to ISO 6400",+1/3 to +1 (typically)
vivid-chrome-a-fujifilm-recipe-for-x-and-gfx-cameras,Vivid Chrome - A Fujifilm Recipe for X and GFX Cameras,Vivid Chrome - A Fujifilm Recipe for X and GFX Cameras - Vivid Chrome - A Fujifilm Recipe for X and GFX Cameras,https://fujixweekly.com/2026/04/13/vivid-chrome-a-fujifilm-recipe-for-x-and-gfx-cameras/,2026-04-13,X-Trans V,"X-E5, GFX100S II, GFX100RF",ok,14,Velvia,DR400,"Weak, Small",Strong,Off,"Daylight, +2 Red & -2 Blue",-1,-0.5,+2,-2,-4,+3,"Auto, up to ISO 6400",+1/3 to +1 (typically)
fujifilm-recipe-provia-positive,Fujifilm Recipe: Provia Positive,Fujifilm Recipe: Provia Positive - Fujifilm Recipe: Provia Positive,https://fujixweekly.com/2026/05/27/fujifilm-recipe-provia-positive/,2026-05-27,X-Trans V,"X-T5, X-E5, GFX100RF",ok,14,Provia/STD,DR400,"Strong, Small",Strong,Strong,"Auto White Priority, +2 Red & -3 Blue",-1,+1,+4,-1,-4,+2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
cinestill-400d-v1-a-fujifilm-x-trans-iv-v-film-simulation-recipe,CineStill 400D v1 - A Fujifilm X-Trans IV & V Film Simulation Recipe,CineStill 400D v1 - A Fujifilm X-Trans IV & V Film Simulation Recipe - CineStill 400D v1 - A Fujifilm X-Trans IV & V Film Simulation Recipe,https://fujixweekly.com/2023/01/17/cinestill-400d-v1-a-fujifilm-x-trans-iv-v-film-simulation-recipe/,"January 17, 2023",X-Trans V,X-T5,ok,14,Astia,DR200,"Strong, Small",Strong,Strong,"Fluorescent 1, -6 Red & -3 Blue",+3,+1,+2,-2,-4,-4,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
cinestill-400d-v2-a-fujifilm-x-trans-iv-v-film-simulation-recipe,CineStill 400D v2 - A Fujifilm X-Trans IV & V Film Simulation Recipe,CineStill 400D v2 - A Fujifilm X-Trans IV & V Film Simulation Recipe - CineStill 400D v2 - A Fujifilm X-Trans IV & V Film Simulation Recipe,https://fujixweekly.com/2023/01/17/cinestill-400d-v2-a-fujifilm-x-trans-iv-v-film-simulation-recipe/,"January 17, 2023",X-Trans V,X-T5,ok,14,Astia,DR200,"Strong, Small",Strong,Weak,"Fluorescent 1, -2 Red & +4 Blue",-2,0,+2,-2,-4,-4,"Auto, up to ISO 6400",+1/3 to +1 (typically)
pushed-cinestill-800t,Pushed CineStill 800T,Pushed CineStill 800T - Pushed CineStill 800T - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/07/22/pushed-cinestill-800t-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"July 22, 2023",X-Trans V,X-T5,ok,14,Eterna Bleach Bypass,DR400,"Strong, Large",Strong,Weak,"7700K, -9 Red & +5 Blue",-0.5,+1.5,+3,0,-4,-3,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
expired-ecn-2-100t,Expired ECN-2 100T,Expired ECN-2 100T - Expired ECN-2 100T - Fujifilm X-Trans IV & X-Trans V Film Simulation Recipe,https://fujixweekly.com/2024/02/01/expired-ecn-2-100t-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe/,"February 1, 2024",X-Trans V,X-T5,ok,14,Eterna Bleach Bypass,DR400,"Strong, Large",Strong,Strong - Weak for X-Trans V,"6000K, -9 Red & -6 Blue",+0.5,-1,+1,-3,-4,-4,"Auto, up to ISO 6400",0 to +2/3 (typically)
fluorescent-night,Fluorescent Night,Fluorescent Night - Fluorescent Night - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/12/04/fluorescent-night-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"December 4, 2023",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR200,"Strong, Small",Strong,Weak,"Fluorescent 2, -8 Red & -1 Blue",-1,-1.5,+4,-2,-4,-3,"Auto, up to ISO 6400",-2/3 to +2/3 (typically)
bewaremyvelvia-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v,BewareMyVelvia - A Fujifilm Film Simulation Recipe for X-Trans IV & V,BewareMyVelvia - A Fujifilm Film Simulation Recipe for X-Trans IV & V - BewareMyVelvia - A Fujifilm Film Simulation Recipe for X-Trans IV & V,https://fujixweekly.com/2026/01/13/bewaremyvelvia-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v/,2026-01-13,X-Trans V,X-T5,ok,14,Velvia,DR200,"Weak, Small",Strong,Strong,"6590K, -9 Red & 0 Blue",+2,+2,+4,+1,-4,0,"Auto, up to ISO 6400",0 to +2/3 (typically)
cinestill-800t,CineStill 800T,CineStill 800T - CineStill 800T - Fujifilm X-Trans V Film Simulation Recipe,https://fujixweekly.com/2024/04/16/cinestill-800t-fujifilm-x-trans-v-film-simulation-recipe/,"April 16, 2024",X-Trans V,"X-T5, X100VI",ok,14,Eterna,DR400,"Strong, Large",Strong,Weak,"Fluorescent 3, -6 Red & -4 Blue",0,+2,+4,-3,-4,-5,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
redscale,RedScale,RedScale - RedScale - Fujifilm X-Trans IV & V Film Simulation Recipe,https://fujixweekly.com/2025/02/18/redscale-fujifilm-x-trans-iv-v-film-simulation-recipe/,"February 18, 2025",X-Trans V,"X100VI, GFX100S II",ok,14,Classic Negative,DR200,"Strong, Small",Strong,Off,"10000K, +9 Red & -9 Blue",0,+2,+4,-2,-4,-3,"Auto, up to ISO 6400",0 to +2/3 (typically)
vintage-bronze,Vintage Bronze,Vintage Bronze - Vintage Bronze - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/01/13/vintage-bronze-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"January 13, 2023",X-Trans V,X-T5,ok,14,Eterna Bleach Bypass,DR200,"Weak, Large",Off,Off,"Daylight, +6 Red & -8 Blue",0,-1,0,-2,-4,-2,"Auto, up to ISO 6400",-2/3 to 0 (typically)
expired-kodak-vision2-250d-a-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v-cameras,Expired Kodak Vision2 250D - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras,Expired Kodak Vision2 250D - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras - Expired Kodak Vision2 250D - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras,https://fujixweekly.com/2025/12/23/expired-kodak-vision2-250d-a-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v-cameras/,2025-12-23,X-Trans V,X-T5,ok,11,Eterna Bleach Bypass,,"Weak, Small",Strong,Off (X-Trans V); Weak (X-Trans IV),"8700K, -4 Red & -3 Blue",,,-2,-2,-4,-2,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
vintage-eterna-1,Vintage Eterna,"Vintage Eterna - Vintage Eterna - Fujifilm X-Trans V, X-Trans IV, & X-H1 Film Simulation Recipes",https://fujixweekly.com/2024/02/05/vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes/,"February 5, 2024",X-Trans V,,ok,12,Eterna,DR100,Strong,Off or N/A,,"Auto, +2 Red & -5 Blue",+3,-1,+2,-1,-4,,"Auto, up to ISO 6400",-2/3 to 0 (typically)
vintage-eterna-2,Vintage Eterna,"Vintage Eterna - Vintage Eterna - Fujifilm X-Trans V, X-Trans IV, & X-H1 Film Simulation Recipes",https://fujixweekly.com/2024/02/05/vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes/,"February 5, 2024",X-Trans V,,ok,14,Eterna,DR100,"Strong, Large",Off,Strong,"Auto, +2 Red & -5 Blue",+3,-1,+2,-1,-4,-2,"Auto, up to ISO 6400",-2/3 to 0 (typically)
vintage-eterna-3,Vintage Eterna,"Vintage Eterna - Vintage Eterna - Fujifilm X-Trans V, X-Trans IV, & X-H1 Film Simulation Recipes",https://fujixweekly.com/2024/02/05/vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes/,"February 5, 2024",X-Trans V,X-T5,ok,14,Eterna,DR100,"Strong, Large",Off,Weak,"Auto, +2 Red & -5 Blue",+3,-1,+2,-1,-4,-2,"Auto, up to ISO 6400",-2/3 to 0 (typically)
vintage-cinema,Vintage Cinema,Vintage Cinema - Vintage Cinema - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/06/07/vintage-cinema-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"June 7, 2024",X-Trans V,"X-T5, X100VI",ok,14,Nostalgic Neg.,DR400,"Strong, Small",Strong,Off,"4900K, +3 Red & +3 Blue",+3,-2,-1,-2,-4,-4,"Auto, up to ISO 6400",-1/3 to -2 (typically)
1960-chrome,1960 Chrome,1960 Chrome - 1960 Chrome - Fujifilm X-T5 (X-Trans V) & X-E4 (X-Trans IV) Film Simulation Recipe,https://fujixweekly.com/2024/07/15/1960-chrome-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe/,"July 15, 2024",X-Trans V,X-T5,ok,14,Eterna Bleach Bypass,DR400,"Strong, Large",Strong,Off (X-Trans V); Weak (X-Trans IV),"Fluorescent 1, -2 Red & -4 Blue",-2,-1,+2,-1,-4,-2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
eterna-summer,Eterna Summer,Eterna Summer - Eterna Summer - Fujifilm X-Trans IV & X-Trans V Film Simulation Recipe,https://fujixweekly.com/2024/04/08/eterna-summer-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe/,"April 8, 2024",X-Trans V,X-T5,ok,14,Eterna,DR200,"Strong, Small",Strong,Strong (X-Trans IV); Weak (X-Trans V),"Daylight, +3 Red & -7 Blue",+2.5,0,+4,-1,-4,-3,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
fujifilm-x-t50-film-dial-settings-14-new-film-simulation-recipes-yes-14,"Fujifilm X-T50 Film Dial Settings + 14 New Film Simulation Recipes (Yes, 14!!)","Fujifilm X-T50 Film Dial Settings + 14 New Film Simulation Recipes (Yes, 14!!) - Fujifilm X-T50 Film Dial Settings + 14 New Film Simulation Recipes (Yes, 14!!)",https://fujixweekly.com/2024/05/16/fujifilm-x-t50-film-dial-settings-14-new-film-simulation-recipes-yes-14/,"May 16, 2024",X-Trans V,"X-T5, X-T50",ok,14,Any (See Below),DR400,"Weak, Small",Strong,Weak,"Auto White Priority, +2 Red & -4 Blue",-1.5,-1,+3,-1,-4,-2,"Auto, up to ISO 6400",0 to +1 (typically)
universal-negative-14-fujifilm-x100vi-x-trans-v-film-simulation-recipes-yes-14,"Universal Negative - 14 Fujifilm X100VI (X-Trans V) Film Simulation Recipes (Yes, 14!!)","Universal Negative - 14 Fujifilm X100VI (X-Trans V) Film Simulation Recipes (Yes, 14!!) - Universal Negative - 14 Fujifilm X100VI (X-Trans V) Film Simulation Recipes (Yes, 14!!)",https://fujixweekly.com/2025/03/28/universal-negative-14-fujifilm-x100vi-x-trans-v-film-simulation-recipes-yes-14/,"March 28, 2025",X-Trans V,X100VI,ok,14,Any (See Below),DR400,"Strong, Small",Strong,Strong,"4000K, 0 Red & -5 Blue",0,-2,-2,-2,-4,0,"Auto, up to ISO 6400",-1/3 to +2/3 (typically)
ilford-fp4-plus-125,Ilford FP4 Plus 125,Ilford FP4 Plus 125 - Ilford FP4 Plus 125 - Fujifilm X-T5 (X-Trans V + X-Trans IV) Film Simulation Recipe,https://fujixweekly.com/2022/12/28/ilford-fp4-plus-125-fujifilm-x-t5-x-trans-v-x-trans-iv-film-simulation-recipe/,"December 28, 2022",X-Trans V,X-T5,ok,13,Monochrome,DR200,"Weak, Large",Off,Off,"Daylight, +6 Red & -8 Blue",-0.5,-1.5,,0,-4,+2,"Auto, up to ISO 6400",-1 to -1/3 (typically)
kodak-plus-x-125,Kodak Plus-X 125,Kodak Plus-X 125 - Kodak Plus-X 125 - Fujifilm X-Trans IV & X-Trans V Film Simulation Recipe,https://fujixweekly.com/2025/09/21/kodak-plus-x-125-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe/,2025-09-21,X-Trans V,"X-T5, X100VI, GFX100S II",ok,13,"Acros (including +Ye, +R, or +G)",DR200,"Weak, Large",Strong,Off,"Daylight, +9 Red & +9 Blue",-1,+1,,-1,-4,+2,"Auto, up to ISO 6400",-1/3 to -2/3 (typically)
kodak-t-max-100-soft-tone-a-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v-cameras-part-2,Kodak T-Max 100 Soft Tone - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras (Part 2),Kodak T-Max 100 Soft Tone - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras (Part 2) - Kodak T-Max 100 Soft Tone - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras (Part 2),https://fujixweekly.com/2024/10/07/kodak-t-max-100-soft-tone-a-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v-cameras-part-2/,"October 7, 2024",X-Trans V,"X-T5, X100VI",ok,13,Monochrome+G,DR200,"Weak, Large",Off,Off,"Daylight, -6 Red & -3 Blue",-0.5,+1.5,,-1,-4,-1,up to ISO 6400,-2/3 to +2/3 (typically)
kodak-t-max-100-hard-tone-a-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v-cameras-part-1,Kodak T-Max 100 Hard Tone - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras (Part 1),Kodak T-Max 100 Hard Tone - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras (Part 1) - Kodak T-Max 100 Hard Tone - A Film Simulation Recipe for Fujifilm X-Trans IV & X-Trans V Cameras (Part 1),https://fujixweekly.com/2024/10/04/kodak-t-max-100-hard-tone-a-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v-cameras-part-1/,"October 4, 2024",X-Trans V,"X-T5, X100VI",ok,13,Monochrome+G,DR200,"Weak, Large",Off,Off,"Daylight, -6 Red & -3 Blue",+0.5,+2.5,,-1,-4,-1,up to ISO 6400,-2/3 to +2/3 (typically)
kodak-t-max-p3200-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v,Kodak T-Max P3200 - A Fujifilm Film Simulation Recipe for X-Trans IV & V,Kodak T-Max P3200 - A Fujifilm Film Simulation Recipe for X-Trans IV & V - Kodak T-Max P3200 - A Fujifilm Film Simulation Recipe for X-Trans IV & V,https://fujixweekly.com/2023/05/18/kodak-t-max-p3200-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v/,"May 18, 2023",X-Trans V,X-T5,ok,13,"Acros (or Acros+Y, Acros+R, Acros+G)",DR400,"Strong, Large",Off,Off,"5500K, +4 Red & +7 Blue",+1,+3,,+2,-4,+1,up to ISO 12800,0 to +2/3 (typically)
agfa-scala,Agfa Scala,Agfa Scala - Agfa Scala - Fujifilm Recipe for X-Trans V Cameras,https://fujixweekly.com/2026/02/27/agfa-scala-fujifilm-recipe-for-x-trans-v-cameras/,2026-02-27,X-Trans V,"X-T5, X-E5, GFX100RF",ok,13,"Acros (including +Ye, +R, or +G)",DR100,"Weak, Small",Off,Off,"Auto, 0 Red & 0 Blue",+4,0,,+1,-4,+2,"Auto, up to ISO 6400",-1/3 to +1/3 (typically)
classic-b-w-film-simulation-recipe,Classic B&W Film Simulation Recipe,Classic B&W Film Simulation Recipe - Classic B&W Film Simulation Recipe,https://fujixweekly.com/2025/08/03/classic-bw-film-simulation-recipe/,2025-08-03,X-Trans V,"X100VI, X-E5",ok,13,Acros+G,DR200,"Strong, Large",Off,Off,"Incandescent, -9 Red & +9 Blue",+3,+4,,+1,-4,+3,"Auto, up to ISO 12800",0 to +2/3 (typically)
frgmt-b-w-a-fujifilm-film-simulation-recipe-by-hiroshi-fujiwara,FRGMT B&W - A Fujifilm Film Simulation Recipe by Hiroshi Fujiwara,FRGMT B&W - A Fujifilm Film Simulation Recipe by Hiroshi Fujiwara - FRGMT B&W - A Fujifilm Film Simulation Recipe by Hiroshi Fujiwara,https://fujixweekly.com/2025/12/04/frgmt-bw-a-fujifilm-film-simulation-recipe-by-hiroshi-fujiwara/,2025-12-04,X-Trans V,"X-T5, X-E5, GFX100S II",ok,13,"Acros (including +Ye, +R, or +G)",DR-Auto,"Strong, Large",Off,Off,"Auto, 0 Red & 0 Blue",+4,+2,,-4,-4,+5,"Auto, up to ISO 12800",0 to +2/3 (typically) - Hiroshi says +1/3
